File_MB	7.8075	scATAC_mtSMC
GenomeV	hg19	scATAC_mtSMC
File_MB	7.8075	scATAC_mtSMC
GenomeV	hg19	scATAC_mtSMC
Raw_reads	112960	scATAC_mtSMC
Trimmed_reads	112960.0	scATAC_mtSMC
Trim_loss_rate	0.0	scATAC_mtSMC
Aligned_reads	106047	scATAC_mtSMC
Alignment_rate	0.94	scATAC_mtSMC
rmdup_reads	74008	scATAC_mtSMC
dup_rate	0.3	scATAC_mtSMC
genomeQ30PE_reads	50622	scATAC_mtSMC
genomeQ30PE_rate	0.48	scATAC_mtSMC
Total_TSS_reads	23798	scATAC_mtSMC
TSS_rate	0.24	scATAC_mtSMC
mtQ30PE_reads	6438	scATAC_mtSMC
mtQ30PE_rate	0.06	scATAC_mtSMC
mt_aver_depth	36.21	scATAC_mtSMC
Time	0:10:20	scATAC_mtSMC
Success	07-30-15:33:46	scATAC_mtSMC
